Year,County,HouseholdType,Childcare,Food,Rent,Tech,Transportation,Utilities,Healthcare,Taxes,TaxCredits,Misc,Monthly,Annual
2024,Arkansas,Single Adult,0,440,458,114,361,181,186,250,0,174,2164,25968
2024,Arkansas,One Adult One Child,184,743,433,114,453,284,526,425,-211,274,3225,38700
2024,Arkansas,One Adult One Childcare,562,645,433,114,453,284,526,495,-227,302,3587,43044
2024,Arkansas,Two Adults,0,806,433,148,536,284,526,387,0,273,3393,40716
2024,Arkansas,Two Adults Two Children,367,1351,595,148,806,348,702,775,-421,432,5103,61236
2024,Arkansas,Two Adults Two Childcare,1125,1172,595,148,806,348,702,928,-453,490,5861,70332
2024,Arkansas,Single Senior,0,405,458,114,299,181,502,300,0,196,2455,29460
2024,Arkansas,Two Seniors,0,742,433,148,412,284,1003,580,0,302,3904,46848
2024,Ashley,Single Adult,0,446,537,114,361,181,186,269,0,182,2276,27312
2024,Ashley,One Adult One Child,184,753,439,114,453,284,526,429,-211,275,3246,38952
2024,Ashley,One Adult One Childcare,562,654,439,114,453,284,526,499,-227,303,3607,43284
2024,Ashley,Two Adults,0,817,439,148,536,284,526,391,0,275,3416,40992
2024,Ashley,Two Adults Two Children,367,1370,547,148,806,348,702,767,-421,429,5063,60756
2024,Ashley,Two Adults Two Childcare,1125,1188,547,148,806,348,702,919,-453,486,5816,69792
2024,Ashley,Single Senior,0,410,537,114,299,181,516,325,0,206,2588,31056
2024,Ashley,Two Seniors,0,752,439,148,412,284,1031,592,0,307,3965,47580
2024,Baxter,Single Adult,0,466,560,114,361,181,186,279,0,187,2334,28008
2024,Baxter,One Adult One Child,184,788,462,114,453,284,526,442,-211,281,3323,39876
2024,Baxter,One Adult One Childcare,562,684,462,114,453,284,526,513,-227,308,3679,44148
2024,Baxter,Two Adults,0,855,462,148,536,284,526,406,0,281,3498,41976
2024,Baxter,Two Adults Two Children,367,1433,632,148,806,348,702,806,-421,444,5265,63180
2024,Baxter,Two Adults Two Childcare,1125,1243,632,148,806,348,702,956,-453,500,6007,72084
2024,Baxter,Single Senior,0,429,560,114,299,181,477,325,0,206,2591,31092
2024,Baxter,Two Seniors,0,787,462,148,412,284,953,586,0,305,3937,47244
2024,Benton,Single Adult,0,448,777,114,361,181,186,327,0,207,2601,31212
2024,Benton,One Adult One Child,281,758,734,114,453,284,526,530,-227,315,3768,45216
2024,Benton,One Adult One Childcare,833,658,734,114,453,284,526,650,-227,360,4385,52620
2024,Benton,Two Adults,0,822,734,148,536,284,526,464,0,305,3819,45828
2024,Benton,Two Adults Two Children,562,1379,885,148,806,348,702,910,-453,483,5770,69240
2024,Benton,Two Adults Two Childcare,1667,1196,885,148,806,348,702,1154,-453,575,7028,84336
2024,Benton,Single Senior,0,413,777,114,299,181,492,382,0,228,2886,34632
2024,Benton,Two Seniors,0,757,734,148,412,284,984,658,0,332,4309,51708
2024,Boone,Single Adult,0,428,426,114,361,181,186,240,0,170,2106,25272
2024,Boone,One Adult One Child,184,723,428,114,453,284,526,419,-211,271,3191,38292
2024,Boone,One Adult One Childcare,562,628,428,114,453,284,526,489,-227,300,3557,42684
2024,Boone,Two Adults,0,784,428,148,536,284,526,381,0,271,3358,40296
2024,Boone,Two Adults Two Children,367,1315,547,148,806,348,702,752,-421,423,4987,59844
2024,Boone,Two Adults Two Childcare,1125,1141,547,148,806,348,702,907,-453,482,5753,69036
2024,Boone,Single Senior,0,394,426,114,299,181,464,282,0,188,2348,28176
2024,Boone,Two Seniors,0,722,428,148,412,284,928,553,0,292,3767,45204
2024,Bradley,Single Adult,0,448,483,114,361,181,186,257,0,177,2207,26484
2024,Bradley,One Adult One Child,184,758,426,114,453,284,526,426,-211,274,3234,38808
2024,Bradley,One Adult One Childcare,562,658,426,114,453,284,526,496,-227,302,3594,43128
2024,Bradley,Two Adults,0,822,426,148,536,284,526,390,0,274,3406,40872
2024,Bradley,Two Adults Two Children,367,1379,547,148,806,348,702,769,-421,430,5075,60900
2024,Bradley,Two Adults Two Childcare,1125,1196,547,148,806,348,702,921,-453,487,5827,69924
2024,Bradley,Single Senior,0,413,483,114,299,181,494,306,0,198,2488,29856
2024,Bradley,Two Seniors,0,757,426,148,412,284,989,578,0,302,3896,46752
2024,Calhoun,Single Adult,0,422,565,114,361,181,186,270,0,183,2282,27384
2024,Calhoun,One Adult One Child,184,713,482,114,453,284,526,429,-211,276,3250,39000
2024,Calhoun,One Adult One Childcare,562,619,482,114,453,284,526,501,-227,304,3618,43416
2024,Calhoun,Two Adults,0,774,482,148,536,284,526,391,0,275,3416,40992
2024,Calhoun,Two Adults Two Children,367,1297,659,148,806,348,702,777,-421,433,5116,61392
2024,Calhoun,Two Adults Two Childcare,1125,1125,659,148,806,348,702,932,-453,491,5883,70596
2024,Calhoun,Single Senior,0,389,565,114,299,181,534,331,0,208,2621,31452
2024,Calhoun,Two Seniors,0,712,482,148,412,284,1069,602,0,311,4020,48240
2024,Carroll,Single Adult,0,434,441,114,361,181,186,244,0,172,2133,25596
2024,Carroll,One Adult One Child,184,733,439,114,453,284,526,424,-211,273,3219,38628
2024,Carroll,One Adult One Childcare,562,636,439,114,453,284,526,494,-227,301,3582,42984
2024,Carroll,Two Adults,0,795,439,148,536,284,526,386,0,273,3387,40644
2024,Carroll,Two Adults Two Children,367,1333,569,148,806,348,702,763,-421,427,5042,60504
2024,Carroll,Two Adults Two Childcare,1125,1157,569,148,806,348,702,917,-453,486,5805,69660
2024,Carroll,Single Senior,0,399,441,114,299,181,480,290,0,191,2395,28740
2024,Carroll,Two Seniors,0,732,439,148,412,284,959,567,0,297,3838,46056
2024,Chicot,Single Adult,0,448,483,114,361,181,186,257,0,177,2207,26484
2024,Chicot,One Adult One Child,184,758,398,114,453,284,526,420,-211,272,3198,38376
2024,Chicot,One Adult One Childcare,562,658,398,114,453,284,526,489,-227,300,3557,42684
2024,Chicot,Two Adults,0,822,398,148,536,284,526,383,0,271,3368,40416
2024,Chicot,Two Adults Two Children,367,1379,547,148,806,348,702,769,-421,430,5075,60900
2024,Chicot,Two Adults Two Childcare,1125,1196,547,148,806,348,702,921,-453,487,5827,69924
2024,Chicot,Single Senior,0,413,483,114,299,181,520,313,0,201,2524,30288
2024,Chicot,Two Seniors,0,757,398,148,412,284,1040,584,0,304,3927,47124
2024,Clark,Single Adult,0,443,551,114,361,181,186,272,0,184,2292,27504
2024,Clark,One Adult One Child,184,748,499,114,453,284,526,442,-211,281,3320,39840
2024,Clark,One Adult One Childcare,562,649,499,114,453,284,526,514,-227,309,3683,44196
2024,Clark,Two Adults,0,812,499,148,536,284,526,405,0,280,3490,41880
2024,Clark,Two Adults Two Children,367,1360,547,148,806,348,702,764,-421,428,5049,60588
2024,Clark,Two Adults Two Childcare,1125,1180,547,148,806,348,702,917,-453,486,5806,69672
2024,Clark,Single Senior,0,408,551,114,299,181,484,319,0,204,2560,30720
2024,Clark,Two Seniors,0,747,499,148,412,284,968,589,0,306,3953,47436
2024,Clay,Single Adult,0,404,495,114,361,181,186,250,0,174,2165,25980
2024,Clay,One Adult One Child,184,684,398,114,453,284,526,402,-211,264,3098,37176
2024,Clay,One Adult One Childcare,562,593,398,114,453,284,526,472,-227,293,3468,41616
2024,Clay,Two Adults,0,741,398,148,536,284,526,363,0,263,3259,39108
2024,Clay,Two Adults Two Children,367,1243,547,148,806,348,702,733,-421,416,4889,58668
2024,Clay,Two Adults Two Childcare,1125,1078,547,148,806,348,702,890,-453,475,5666,67992
2024,Clay,Single Senior,0,372,495,114,299,181,530,308,0,199,2498,29976
2024,Clay,Two Seniors,0,682,398,148,412,284,1060,570,0,298,3852,46224
2024,Cleburne,Single Adult,0,457,534,114,361,181,186,271,0,183,2287,27444
2024,Cleburne,One Adult One Child,184,773,450,114,453,284,526,436,-211,278,3287,39444
2024,Cleburne,One Adult One Childcare,562,671,450,114,453,284,526,506,-227,306,3645,43740
2024,Cleburne,Two Adults,0,838,450,148,536,284,526,399,0,278,3459,41508
2024,Cleburne,Two Adults Two Children,367,1406,616,148,806,348,702,794,-421,439,5205,62460
2024,Cleburne,Two Adults Two Childcare,1125,1220,616,148,806,348,702,946,-453,496,5954,71448
2024,Cleburne,Single Senior,0,421,534,114,299,181,474,316,0,202,2541,30492
2024,Cleburne,Two Seniors,0,772,450,148,412,284,948,578,0,301,3893,46716
2024,Cleveland,Single Adult,0,448,517,114,361,181,186,265,0,181,2253,27036
2024,Cleveland,One Adult One Child,234,758,475,114,453,284,526,451,-223,284,3356,40272
2024,Cleveland,One Adult One Childcare,698,658,475,114,453,284,526,545,-227,321,3847,46164
2024,Cleveland,Two Adults,0,822,475,148,536,284,526,402,0,279,3472,41664
2024,Cleveland,Two Adults Two Children,469,1379,649,148,806,348,702,823,-446,450,5328,63936
2024,Cleveland,Two Adults Two Childcare,1396,1196,649,148,806,348,702,1020,-453,524,6336,76032
2024,Cleveland,Single Senior,0,413,517,114,299,181,516,320,0,204,2564,30768
2024,Cleveland,Two Seniors,0,757,475,148,412,284,1033,603,0,311,4023,48276
2024,Columbia,Single Adult,0,437,495,114,361,181,186,257,0,177,2208,26496
2024,Columbia,One Adult One Child,184,738,398,114,453,284,526,415,-211,270,3171,38052
2024,Columbia,One Adult One Childcare,562,640,398,114,453,284,526,485,-227,298,3533,42396
2024,Columbia,Two Adults,0,801,398,148,536,284,526,378,0,269,3340,40080
2024,Columbia,Two Adults Two Children,367,1342,547,148,806,348,702,760,-421,426,5025,60300
2024,Columbia,Two Adults Two Childcare,1125,1165,547,148,806,348,702,913,-453,484,5785,69420
2024,Columbia,Single Senior,0,402,495,114,299,181,504,309,0,200,2504,30048
2024,Columbia,Two Seniors,0,737,398,148,412,284,1008,570,0,299,3856,46272
2024,Conway,Single Adult,0,413,483,114,361,181,186,249,0,174,2161,25932
2024,Conway,One Adult One Child,184,698,398,114,453,284,526,405,-211,266,3117,37404
2024,Conway,One Adult One Childcare,562,606,398,114,453,284,526,475,-227,294,3485,41820
2024,Conway,Two Adults,0,757,398,148,536,284,526,367,0,265,3281,39372
2024,Conway,Two Adults Two Children,367,1270,547,148,806,348,702,740,-421,419,4926,59112
2024,Conway,Two Adults Two Childcare,1125,1102,547,148,806,348,702,896,-453,478,5699,68388
2024,Conway,Single Senior,0,380,483,114,299,181,504,301,0,196,2458,29496
2024,Conway,Two Seniors,0,697,398,148,412,284,1008,560,0,295,3802,45624
2024,Craighead,Single Adult,0,419,516,114,361,181,186,258,0,178,2213,26556
2024,Craighead,One Adult One Child,234,708,560,114,453,284,526,459,-223,288,3403,40836
2024,Craighead,One Adult One Childcare,698,615,560,114,453,284,526,556,-227,325,3904,46848
2024,Craighead,Two Adults,0,768,560,148,536,284,526,409,0,282,3513,42156
2024,Craighead,Two Adults Two Children,469,1288,682,148,806,348,702,808,-446,444,5249,62988
2024,Craighead,Two Adults Two Childcare,1396,1117,682,148,806,348,702,1008,-453,520,6274,75288
2024,Craighead,Single Senior,0,386,516,114,299,181,504,310,0,200,2510,30120
2024,Craighead,Two Seniors,0,707,560,148,412,284,1007,605,0,312,4035,48420
2024,Crawford,Single Adult,0,422,567,114,361,181,186,271,0,183,2285,27420
2024,Crawford,One Adult One Child,234,713,464,114,453,284,526,437,-223,279,3281,39372
2024,Crawford,One Adult One Childcare,698,619,464,114,453,284,526,532,-227,316,3779,45348
2024,Crawford,Two Adults,0,774,464,148,536,284,526,387,0,273,3392,40704
2024,Crawford,Two Adults Two Children,469,1297,632,148,806,348,702,797,-446,440,5193,62316
2024,Crawford,Two Adults Two Childcare,1396,1125,632,148,806,348,702,997,-453,516,6217,74604
2024,Crawford,Single Senior,0,389,567,114,299,181,480,318,0,203,2551,30612
2024,Crawford,Two Seniors,0,712,464,148,412,284,960,569,0,298,3847,46164
2024,Crittenden,Single Adult,0,451,953,114,361,181,186,375,0,225,2846,34152
2024,Crittenden,One Adult One Child,234,763,977,114,453,284,526,583,-223,335,4046,48552
2024,Crittenden,One Adult One Childcare,698,662,977,114,453,284,526,679,-227,371,4537,54444
2024,Crittenden,Two Adults,0,828,977,148,536,284,526,525,0,330,4154,49848
2024,Crittenden,Two Adults Two Children,469,1388,1080,148,806,348,702,939,-446,494,5928,71136
2024,Crittenden,Two Adults Two Childcare,1396,1204,1080,148,806,348,702,1136,-453,568,6935,83220
2024,Crittenden,Single Senior,0,416,953,114,299,181,496,431,0,246,3136,37632
2024,Crittenden,Two Seniors,0,762,977,148,412,284,992,726,0,358,4659,55908
2024,Cross,Single Adult,0,401,483,114,361,181,186,246,0,173,2145,25740
2024,Cross,One Adult One Child,184,679,398,114,453,284,526,400,-211,264,3091,37092
2024,Cross,One Adult One Childcare,562,589,398,114,453,284,526,471,-227,293,3463,41556
2024,Cross,Two Adults,0,736,398,148,536,284,526,362,0,263,3253,39036
2024,Cross,Two Adults Two Children,367,1234,547,148,806,348,702,731,-421,415,4877,58524
2024,Cross,Two Adults Two Childcare,1125,1070,547,148,806,348,702,888,-453,475,5656,67872
2024,Cross,Single Senior,0,370,483,114,299,181,521,302,0,197,2467,29604
2024,Cross,Two Seniors,0,677,398,148,412,284,1043,564,0,296,3822,45864
2024,Dallas,Single Adult,0,422,483,114,361,181,186,251,0,175,2173,26076
2024,Dallas,One Adult One Child,184,713,398,114,453,284,526,409,-211,267,3137,37644
2024,Dallas,One Adult One Childcare,562,619,398,114,453,284,526,479,-227,296,3504,42048
2024,Dallas,Two Adults,0,774,398,148,536,284,526,371,0,267,3304,39648
2024,Dallas,Two Adults Two Children,367,1297,547,148,806,348,702,748,-421,422,4964,59568
2024,Dallas,Two Adults Two Childcare,1125,1125,547,148,806,348,702,903,-453,480,5731,68772
2024,Dallas,Single Senior,0,389,483,114,299,181,533,310,0,200,2509,30108
2024,Dallas,Two Seniors,0,712,398,148,412,284,1066,579,0,302,3901,46812
2024,Desha,Single Adult,0,446,512,114,361,181,186,263,0,180,2243,26916
2024,Desha,One Adult One Child,184,753,413,114,453,284,526,422,-211,273,3211,38532
2024,Desha,One Adult One Childcare,562,654,413,114,453,284,526,492,-227,301,3572,42864
2024,Desha,Two Adults,0,817,413,148,536,284,526,385,0,272,3381,40572
2024,Desha,Two Adults Two Children,367,1370,547,148,806,348,702,767,-421,429,5063,60756
2024,Desha,Two Adults Two Childcare,1125,1188,547,148,806,348,702,919,-453,486,5816,69792
2024,Desha,Single Senior,0,410,512,114,299,181,507,316,0,202,2541,30492
2024,Desha,Two Seniors,0,752,413,148,412,284,1014,580,0,302,3905,46860
2024,Drew,Single Adult,0,448,540,114,361,181,186,271,0,183,2284,27408
2024,Drew,One Adult One Child,184,758,456,114,453,284,526,434,-211,278,3276,39312
2024,Drew,One Adult One Childcare,562,658,456,114,453,284,526,504,-227,305,3635,43620
2024,Drew,Two Adults,0,822,456,148,536,284,526,397,0,277,3446,41352
2024,Drew,Two Adults Two Children,367,1379,624,148,806,348,702,789,-421,437,5179,62148
2024,Drew,Two Adults Two Childcare,1125,1196,624,148,806,348,702,942,-453,495,5933,71196
2024,Drew,Single Senior,0,413,540,114,299,181,516,326,0,206,2595,31140
2024,Drew,Two Seniors,0,757,456,148,412,284,1032,597,0,309,3995,47940
2024,Faulkner,Single Adult,0,448,857,114,361,181,186,348,0,215,2710,32520
2024,Faulkner,One Adult One Child,234,758,761,114,453,284,526,525,-223,313,3745,44940
2024,Faulkner,One Adult One Childcare,698,658,761,114,453,284,526,621,-227,349,4237,50844
2024,Faulkner,Two Adults,0,822,761,148,536,284,526,471,0,308,3856,46272
2024,Faulkner,Two Adults Two Children,469,1379,850,148,806,348,702,876,-446,470,5602,67224
2024,Faulkner,Two Adults Two Childcare,1396,1196,850,148,806,348,702,1073,-453,545,6611,79332
2024,Faulkner,Single Senior,0,413,857,114,299,181,496,404,0,236,3000,36000
2024,Faulkner,Two Seniors,0,757,761,148,412,284,991,668,0,335,4356,52272
2024,Franklin,Single Adult,0,413,578,114,361,181,186,271,0,183,2287,27444
2024,Franklin,One Adult One Child,234,698,486,114,453,284,526,439,-223,280,3291,39492
2024,Franklin,One Adult One Childcare,698,606,486,114,453,284,526,534,-227,317,3791,45492
2024,Franklin,Two Adults,0,757,486,148,536,284,526,388,0,274,3399,40788
2024,Franklin,Two Adults Two Children,469,1270,631,148,806,348,702,789,-446,437,5154,61848
2024,Franklin,Two Adults Two Childcare,1396,1102,631,148,806,348,702,990,-453,513,6183,74196
2024,Franklin,Single Senior,0,380,578,114,299,181,503,324,0,206,2585,31020
2024,Franklin,Two Seniors,0,697,486,148,412,284,1007,583,0,303,3920,47040
2024,Fulton,Single Adult,0,419,426,114,361,181,186,237,0,169,2093,25116
2024,Fulton,One Adult One Child,184,708,398,114,453,284,526,408,-211,267,3131,37572
2024,Fulton,One Adult One Childcare,562,615,398,114,453,284,526,478,-227,295,3498,41976
2024,Fulton,Two Adults,0,768,398,148,536,284,526,370,0,266,3296,39552
2024,Fulton,Two Adults Two Children,367,1288,547,148,806,348,702,745,-421,421,4951,59412
2024,Fulton,Two Adults Two Childcare,1125,1117,547,148,806,348,702,900,-453,479,5719,68628
2024,Fulton,Single Senior,0,386,426,114,299,181,512,291,0,192,2401,28812
2024,Fulton,Two Seniors,0,707,398,148,412,284,1024,567,0,297,3837,46044
2024,Garland,Single Adult,0,446,677,114,361,181,186,302,0,196,2463,29556
2024,Garland,One Adult One Child,234,753,574,114,453,284,526,474,-223,294,3483,41796
2024,Garland,One Adult One Childcare,698,654,574,114,453,284,526,570,-227,330,3976,47712
2024,Garland,Two Adults,0,817,574,148,536,284,526,424,0,288,3597,43164
2024,Garland,Two Adults Two Children,469,1370,774,148,806,348,702,854,-446,462,5487,65844
2024,Garland,Two Adults Two Childcare,1396,1188,774,148,806,348,702,1051,-453,536,6496,77952
2024,Garland,Single Senior,0,410,677,114,299,181,492,355,0,217,2745,32940
2024,Garland,Two Seniors,0,752,574,148,412,284,984,615,0,315,4084,49008
2024,Grant,Single Adult,0,469,636,114,361,181,186,298,0,195,2440,29280
2024,Grant,One Adult One Child,234,793,539,114,453,284,526,476,-223,294,3490,41880
2024,Grant,One Adult One Childcare,698,688,539,114,453,284,526,570,-227,330,3975,47700
2024,Grant,Two Adults,0,860,539,148,536,284,526,426,0,289,3608,43296
2024,Grant,Two Adults Two Children,469,1442,634,148,806,348,702,836,-446,455,5394,64728
2024,Grant,Two Adults Two Childcare,1396,1251,634,148,806,348,702,1031,-453,528,6391,76692
2024,Grant,Single Senior,0,432,636,114,299,181,486,348,0,215,2711,32532
2024,Grant,Two Seniors,0,792,539,148,412,284,972,613,0,315,4075,48900
2024,Greene,Single Adult,0,407,519,114,361,181,186,256,0,177,2201,26412
2024,Greene,One Adult One Child,184,688,527,114,453,284,526,434,-211,278,3277,39324
2024,Greene,One Adult One Childcare,562,597,527,114,453,284,526,507,-227,306,3649,43788
2024,Greene,Two Adults,0,747,527,148,536,284,526,396,0,277,3441,41292
2024,Greene,Two Adults Two Children,367,1252,596,148,806,348,702,748,-421,422,4968,59616
2024,Greene,Two Adults Two Childcare,1125,1086,596,148,806,348,702,905,-453,481,5744,68928
2024,Greene,Single Senior,0,375,519,114,299,181,506,309,0,199,2502,30024
2024,Greene,Two Seniors,0,687,527,148,412,284,1012,592,0,307,3969,47628
2024,Hempstead,Single Adult,0,416,526,114,361,181,186,260,0,178,2222,26664
2024,Hempstead,One Adult One Child,184,704,442,114,453,284,526,417,-211,271,3184,38208
2024,Hempstead,One Adult One Childcare,562,610,442,114,453,284,526,488,-227,299,3551,42612
2024,Hempstead,Two Adults,0,763,442,148,536,284,526,379,0,270,3348,40176
2024,Hempstead,Two Adults Two Children,367,1279,606,148,806,348,702,758,-421,426,5019,60228
2024,Hempstead,Two Adults Two Childcare,1125,1110,606,148,806,348,702,914,-453,484,5790,69480
2024,Hempstead,Single Senior,0,383,526,114,299,181,502,311,0,200,2516,30192
2024,Hempstead,Two Seniors,0,702,442,148,412,284,1003,572,0,299,3862,46344
2024,Hot Spring,Single Adult,0,431,482,114,361,181,186,253,0,176,2184,26208
2024,Hot Spring,One Adult One Child,234,728,398,114,453,284,526,425,-223,274,3213,38556
2024,Hot Spring,One Adult One Childcare,698,632,398,114,453,284,526,518,-227,310,3706,44472
2024,Hot Spring,Two Adults,0,790,398,148,536,284,526,375,0,268,3325,39900
2024,Hot Spring,Two Adults Two Children,469,1324,547,148,806,348,702,782,-446,434,5114,61368
2024,Hot Spring,Two Adults Two Childcare,1396,1149,547,148,806,348,702,981,-453,510,6134,73608
2024,Hot Spring,Single Senior,0,397,482,114,299,181,505,305,0,198,2481,29772
2024,Hot Spring,Two Seniors,0,727,398,148,412,284,1011,568,0,298,3846,46152
2024,Howard,Single Adult,0,416,490,114,361,181,186,251,0,175,2174,26088
2024,Howard,One Adult One Child,184,704,405,114,453,284,526,408,-211,267,3134,37608
2024,Howard,One Adult One Childcare,562,610,405,114,453,284,526,478,-227,295,3500,42000
2024,Howard,Two Adults,0,763,405,148,536,284,526,370,0,266,3298,39576
2024,Howard,Two Adults Two Children,367,1279,557,148,806,348,702,745,-421,421,4952,59424
2024,Howard,Two Adults Two Childcare,1125,1110,557,148,806,348,702,901,-453,480,5724,68688
2024,Howard,Single Senior,0,383,490,114,299,181,518,306,0,198,2489,29868
2024,Howard,Two Seniors,0,702,405,148,412,284,1036,570,0,299,3856,46272
2024,Independence,Single Adult,0,422,499,114,361,181,186,255,0,176,2194,26328
2024,Independence,One Adult One Child,184,713,401,114,453,284,526,410,-211,268,3142,37704
2024,Independence,One Adult One Childcare,562,619,401,114,453,284,526,480,-227,296,3508,42096
2024,Independence,Two Adults,0,774,401,148,536,284,526,372,0,267,3308,39696
2024,Independence,Two Adults Two Children,367,1297,552,148,806,348,702,749,-421,422,4970,59640
2024,Independence,Two Adults Two Childcare,1125,1125,552,148,806,348,702,904,-453,481,5738,68856
2024,Independence,Single Senior,0,389,499,114,299,181,504,306,0,199,2491,29892
2024,Independence,Two Seniors,0,712,401,148,412,284,1008,565,0,296,3826,45912
2024,Izard,Single Adult,0,463,483,114,361,181,186,261,0,179,2228,26736
2024,Izard,One Adult One Child,184,783,467,114,453,284,526,442,-211,281,3323,39876
2024,Izard,One Adult One Childcare,562,679,467,114,453,284,526,513,-227,308,3679,44148
2024,Izard,Two Adults,0,849,467,148,536,284,526,406,0,281,3497,41964
2024,Izard,Two Adults Two Children,367,1424,547,148,806,348,702,781,-421,434,5136,61632
2024,Izard,Two Adults Two Childcare,1125,1235,547,148,806,348,702,932,-453,491,5881,70572
2024,Izard,Single Senior,0,427,483,114,299,181,485,307,0,199,2495,29940
2024,Izard,Two Seniors,0,782,467,148,412,284,970,590,0,306,3959,47508
2024,Jackson,Single Adult,0,422,483,114,361,181,186,251,0,175,2173,26076
2024,Jackson,One Adult One Child,184,713,398,114,453,284,526,409,-211,267,3137,37644
2024,Jackson,One Adult One Childcare,562,619,398,114,453,284,526,479,-227,296,3504,42048
2024,Jackson,Two Adults,0,774,398,148,536,284,526,371,0,267,3304,39648
2024,Jackson,Two Adults Two Children,367,1297,547,148,806,348,702,748,-421,422,4964,59568
2024,Jackson,Two Adults Two Childcare,1125,1125,547,148,806,348,702,903,-453,480,5731,68772
2024,Jackson,Single Senior,0,389,483,114,299,181,512,305,0,198,2481,29772
2024,Jackson,Two Seniors,0,712,398,148,412,284,1025,568,0,298,3845,46140
2024,Jefferson,Single Adult,0,440,545,114,361,181,186,270,0,183,2280,27360
2024,Jefferson,One Adult One Child,234,743,508,114,453,284,526,455,-223,286,3380,40560
2024,Jefferson,One Adult One Childcare,698,645,508,114,453,284,526,551,-227,323,3875,46500
2024,Jefferson,Two Adults,0,806,508,148,536,284,526,406,0,281,3495,41940
2024,Jefferson,Two Adults Two Children,469,1351,675,148,806,348,702,823,-446,450,5326,63912
2024,Jefferson,Two Adults Two Childcare,1396,1172,675,148,806,348,702,1021,-453,525,6340,76080
2024,Jefferson,Single Senior,0,405,545,114,299,181,494,320,0,204,2562,30744
2024,Jefferson,Two Seniors,0,742,508,148,412,284,988,596,0,308,3986,47832
2024,Johnson,Single Adult,0,422,492,114,361,181,186,253,0,176,2185,26220
2024,Johnson,One Adult One Child,184,713,407,114,453,284,526,411,-211,268,3149,37788
2024,Johnson,One Adult One Childcare,562,619,407,114,453,284,526,481,-227,296,3515,42180
2024,Johnson,Two Adults,0,774,407,148,536,284,526,373,0,268,3316,39792
2024,Johnson,Two Adults Two Children,367,1297,560,148,806,348,702,751,-421,423,4981,59772
2024,Johnson,Two Adults Two Childcare,1125,1125,560,148,806,348,702,906,-453,481,5748,68976
2024,Johnson,Single Senior,0,389,492,114,299,181,459,294,0,193,2421,29052
2024,Johnson,Two Seniors,0,712,407,148,412,284,918,542,0,288,3711,44532
2024,Lafayette,Single Adult,0,437,483,114,361,181,186,255,0,176,2193,26316
2024,Lafayette,One Adult One Child,234,738,398,114,453,284,526,427,-223,275,3226,38712
2024,Lafayette,One Adult One Childcare,698,640,398,114,453,284,526,520,-227,311,3717,44604
2024,Lafayette,Two Adults,0,801,398,148,536,284,526,378,0,269,3340,40080
2024,Lafayette,Two Adults Two Children,469,1342,547,148,806,348,702,786,-446,436,5138,61656
2024,Lafayette,Two Adults Two Childcare,1396,1165,547,148,806,348,702,985,-453,511,6155,73860
2024,Lafayette,Single Senior,0,402,483,114,299,181,509,307,0,199,2494,29928
2024,Lafayette,Two Seniors,0,737,398,148,412,284,1018,573,0,300,3870,46440
2024,Lawrence,Single Adult,0,425,483,114,361,181,186,252,0,175,2177,26124
2024,Lawrence,One Adult One Child,184,718,398,114,453,284,526,410,-211,268,3144,37728
