Year,County,GEOID,Households,Poverty,ALICE,Above,ThresholdUnder65,Threshold65Plus
2014,Lawrence,05075,6630,1497,2109,3024,40000,30000
2016,Lawrence,05075,6603,1571,2082,2950,40000,35000
2018,Lawrence,05075,6531,1192,2024,3315,40000,35000
2019,Lawrence,05075,6463,1065,2394,3004,45000,40000
2021,Lawrence,05075,6260,1066,2441,2753,50000,45000
2022,Lawrence,05075,6359,1134,2353,2872,50632,46980
2023,Lawrence,05075,6437,1219,2306,2912,50840,47792
2024,Lawrence,05075,6613,1406,2146,3061,50065,46512
2010,Lee,05077,3516,1046,1123,1347,45000,30000
2012,Lee,05077,3401,1107,1190,1104,45000,30000
2014,Lee,05077,3488,1182,1141,1165,45000,30000
2016,Lee,05077,3541,1208,1215,1118,45000,35000
2018,Lee,05077,3352,980,1155,1217,50000,35000
2019,Lee,05077,3206,860,1043,1303,50000,35000
2021,Lee,05077,2767,801,1019,947,60000,40000
2022,Lee,05077,2586,773,954,859,71170,43351
2023,Lee,05077,2641,772,977,892,64935,45852
2024,Lee,05077,2690,926,922,842,65044,44354
2010,Lincoln,05079,4057,948,1533,1576,45000,30000
2012,Lincoln,05079,4129,1113,1293,1723,45000,30000
2014,Lincoln,05079,4195,1104,1108,1983,35000,35000
2016,Lincoln,05079,3940,898,1158,1884,35000,35000
2018,Lincoln,05079,3795,713,1120,1962,40000,40000
2019,Lincoln,05079,3773,712,1003,2058,40000,40000
2021,Lincoln,05079,3391,530,1119,1742,50000,45000
2022,Lincoln,05079,3378,620,1127,1631,56559,48252
2023,Lincoln,05079,3518,609,1135,1774,54434,49380
2024,Lincoln,05079,3592,680,1080,1832,55139,47928
2010,Little River,05081,5405,1006,1417,2982,30000,30000
2012,Little River,05081,5237,709,1558,2970,35000,30000
2014,Little River,05081,5241,902,1334,3005,35000,30000
2016,Little River,05081,5191,908,1656,2627,35000,35000
2018,Little River,05081,5440,887,1387,3166,35000,35000
2019,Little River,05081,5363,803,1544,3016,40000,35000
2021,Little River,05081,4753,591,1398,2764,50000,40000
2022,Little River,05081,4734,595,1501,2638,52543,45821
2023,Little River,05081,4790,887,1463,2440,51455,48372
2024,Little River,05081,4820,851,1392,2577,51456,46896
2010,Logan,05083,8161,1096,2361,4704,35000,30000
2012,Logan,05083,8442,1409,2430,4603,35000,30000
2014,Logan,05083,8439,1439,2443,4557,35000,30000
2016,Logan,05083,8401,1519,2957,3925,40000,35000
2018,Logan,05083,8464,1615,2650,4199,40000,40000
2019,Logan,05083,8417,1462,3044,3911,45000,40000
2021,Logan,05083,8271,1287,2684,4300,45000,45000
2022,Logan,05083,8405,1225,2765,4415,49897,44513
2023,Logan,05083,8484,1270,2486,4728,50284,45464
2024,Logan,05083,8521,1160,2238,5123,51595,43864
2010,Lonoke,05085,24702,3259,4631,16812,35000,35000
2012,Lonoke,05085,25384,2717,6141,16526,40000,35000
2014,Lonoke,05085,26688,2866,7176,16646,45000,40000
2016,Lonoke,05085,26327,2880,6821,16626,45000,40000
2018,Lonoke,05085,28132,3309,8556,16267,45000,45000
2019,Lonoke,05085,26052,3071,6921,16060,50000,45000
2021,Lonoke,05085,27277,3122,9584,14571,60000,50000
2022,Lonoke,05085,28268,3019,9805,15444,60542,53148
2023,Lonoke,05085,29388,2796,7914,18678,56057,52656
2024,Lonoke,05085,28554,2897,8220,17437,59701,52680
2010,Madison,05087,5762,1101,1516,3145,35000,30000
2012,Madison,05087,6069,1358,1784,2927,35000,30000
2014,Madison,05087,6152,1233,1558,3361,35000,35000
2016,Madison,05087,6279,1083,2015,3181,40000,35000
2018,Madison,05087,6195,1029,2045,3121,45000,40000
2019,Madison,05087,6279,1061,2138,3080,45000,40000
2021,Madison,05087,6056,922,2186,2948,50000,45000
2022,Madison,05087,6250,886,2485,2879,58657,48876
2023,Madison,05087,6381,820,2455,3106,59332,50712
2024,Madison,05087,6463,796,2493,3174,62124,51000
2010,Marion,05089,7239,1142,2119,3978,30000,30000
2012,Marion,05089,7200,1203,2344,3653,35000,30000
2014,Marion,05089,6912,1295,2098,3519,35000,30000
2016,Marion,05089,6667,1298,2386,2983,40000,35000
2018,Marion,05089,6669,1425,2076,3168,40000,35000
2019,Marion,05089,6782,1265,2457,3060,45000,35000
2021,Marion,05089,6950,1192,2658,3100,50000,40000
2022,Marion,05089,7140,1232,2795,3113,52626,44259
2023,Marion,05089,7296,1148,2660,3488,51609,46668
2024,Marion,05089,7664,1257,2569,3838,49315,46128
2010,Miller,05091,16586,2702,4418,9466,35000,30000
2012,Miller,05091,16746,3067,4597,9082,35000,35000
2014,Miller,05091,16946,3100,4293,9553,35000,35000
2016,Miller,05091,17003,3297,5060,8646,40000,35000
2018,Miller,05091,16748,3310,5488,7950,45000,40000
2019,Miller,05091,16426,3249,4924,8253,45000,40000
2021,Miller,05091,16240,3134,5315,7791,50000,45000
2022,Miller,05091,15863,3324,5496,7043,57561,49932
2023,Miller,05091,16311,3705,5113,7493,55921,51192
2024,Miller,05091,16359,3856,5196,7307,57157,49704
2010,Mississippi,05093,17105,3694,4081,9330,35000,25000
2012,Mississippi,05093,16962,3961,4169,8832,35000,30000
2014,Mississippi,05093,17188,4133,4369,8686,35000,30000
2016,Mississippi,05093,16835,4086,5033,7716,40000,35000
2018,Mississippi,05093,16888,3813,4819,8256,40000,35000
2019,Mississippi,05093,16389,3689,4243,8457,40000,35000
2021,Mississippi,05093,15565,3052,5096,7417,50000,45000
2022,Mississippi,05093,15005,3074,4526,7405,52511,45826
2023,Mississippi,05093,15381,3303,4014,8064,50369,47584
2024,Mississippi,05093,15452,3496,3881,8075,50819,45357
2010,Monroe,05095,3453,882,846,1725,30000,30000
2012,Monroe,05095,3396,908,1056,1432,35000,30000
2014,Monroe,05095,3374,982,903,1489,35000,30000
2016,Monroe,05095,3306,889,802,1615,35000,30000
2018,Monroe,05095,3326,903,753,1670,35000,35000
2019,Monroe,05095,3333,828,716,1789,35000,30000
2021,Monroe,05095,2816,626,804,1386,45000,35000
2022,Monroe,05095,2826,711,784,1331,51044,37294
2023,Monroe,05095,2819,664,857,1298,49670,39537
2024,Monroe,05095,2790,622,856,1312,51200,38856
2010,Montgomery,05097,3753,799,973,1981,35000,30000
2012,Montgomery,05097,3797,846,1236,1715,40000,30000
2014,Montgomery,05097,3813,789,1171,1853,35000,30000
2016,Montgomery,05097,3735,666,1343,1726,40000,35000
2018,Montgomery,05097,3761,710,1303,1748,45000,35000
2019,Montgomery,05097,3754,765,1328,1661,45000,35000
2021,Montgomery,05097,3669,790,1070,1809,45000,40000
2022,Montgomery,05097,3589,697,1191,1701,50534,46606
2023,Montgomery,05097,3752,855,984,1913,48721,46947
2024,Montgomery,05097,3715,892,968,1855,49599,48089
2010,Nevada,05099,3782,752,667,2363,30000,30000
2012,Nevada,05099,3777,906,846,2025,35000,25000
2014,Nevada,05099,3596,883,1008,1705,35000,30000
2016,Nevada,05099,3509,881,1030,1598,35000,35000
2018,Nevada,05099,3303,819,848,1636,40000,35000
2019,Nevada,05099,3397,785,984,1628,40000,40000
2021,Nevada,05099,3070,766,1054,1250,50000,45000
2022,Nevada,05099,3154,833,1150,1171,54339,46704
2023,Nevada,05099,3402,962,1129,1311,50295,48420
2024,Nevada,05099,3251,536,937,1778,52199,46476
2010,Newton,05101,3555,943,920,1692,30000,30000
2012,Newton,05101,3560,989,890,1681,30000,30000
2014,Newton,05101,3346,816,906,1624,35000,30000
2016,Newton,05101,3243,828,838,1577,35000,35000
2018,Newton,05101,2899,582,944,1373,45000,35000
2019,Newton,05101,2936,602,941,1393,45000,35000
2021,Newton,05101,2769,329,1110,1330,50000,40000
2022,Newton,05101,2905,329,1070,1506,50327,44712
2023,Newton,05101,3049,385,1070,1594,46407,47040
2024,Newton,05101,3179,499,938,1742,44493,46932
2010,Ouachita,05103,10750,2290,2495,5965,30000,25000
2012,Ouachita,05103,10745,2084,3330,5331,35000,30000
2014,Ouachita,05103,10502,2288,3080,5134,35000,30000
2016,Ouachita,05103,10313,2588,3039,4686,35000,35000
2018,Ouachita,05103,10055,2527,2953,4575,40000,35000
2019,Ouachita,05103,9658,2296,2844,4518,40000,35000
2021,Ouachita,05103,8686,1731,2836,4119,50000,45000
2022,Ouachita,05103,8459,1599,2792,4068,52959,46080
2023,Ouachita,05103,8590,1569,2803,4218,52852,47616
2024,Ouachita,05103,8624,1616,2885,4123,53255,46608
2010,Perry,05105,3952,604,1154,2194,40000,35000
2012,Perry,05105,3998,628,1208,2162,40000,35000
2014,Perry,05105,3926,484,1284,2158,40000,35000
2016,Perry,05105,3730,567,1224,1939,45000,40000
2018,Perry,05105,3708,581,1314,1813,50000,40000
2019,Perry,05105,3668,641,1132,1895,50000,40000
2021,Perry,05105,3732,642,1238,1852,50000,45000
2022,Perry,05105,3829,631,1248,1950,57094,48936
2023,Perry,05105,3840,637,1146,2057,57283,50964
2024,Perry,05105,4094,661,1330,2103,56765,51024
2010,Phillips,05107,8217,2272,2538,3407,35000,30000
2012,Phillips,05107,8396,2573,2038,3785,35000,30000
2014,Phillips,05107,8291,2624,2062,3605,35000,30000
2016,Phillips,05107,7953,2421,2509,3023,40000,30000
2018,Phillips,05107,7498,2173,2313,3012,40000,35000
2019,Phillips,05107,7485,2213,2337,2935,45000,35000
2021,Phillips,05107,6315,1859,2025,2431,50000,40000
2022,Phillips,05107,6180,1689,2045,2446,56421,41723
2023,Phillips,05107,6179,1794,1939,2446,54113,46178
2024,Phillips,05107,6023,1811,1797,2415,55675,45174
2010,Pike,05109,4137,794,1387,1956,40000,30000
2012,Pike,05109,4353,794,1414,2145,35000,30000
2014,Pike,05109,4352,961,1376,2015,35000,35000
2016,Pike,05109,4298,853,1445,2000,40000,35000
2018,Pike,05109,4299,732,1483,2084,40000,40000
2019,Pike,05109,4280,708,1567,2005,45000,40000
2021,Pike,05109,4042,796,1310,1936,50000,45000
2022,Pike,05109,4007,835,1227,1945,53854,44938
2023,Pike,05109,4120,946,1106,2068,52198,45385
2024,Pike,05109,4082,970,1119,1993,53419,45708
2010,Poinsett,05111,9594,2422,2493,4679,35000,25000
2012,Poinsett,05111,9056,2473,2646,3937,40000,25000
2014,Poinsett,05111,9314,2213,2494,4607,35000,30000
2016,Poinsett,05111,9471,1944,2772,4755,35000,35000
2018,Poinsett,05111,9437,1899,2714,4824,40000,35000
2019,Poinsett,05111,9526,1917,2569,5040,40000,35000
2021,Poinsett,05111,8992,1860,2609,4523,45000,40000
2022,Poinsett,05111,9082,1876,2932,4274,49337,44664
2023,Poinsett,05111,9031,1865,2677,4489,50388,45543
2024,Poinsett,05111,8792,1927,2639,4226,52077,44880
2010,Polk,05113,8054,1453,2889,3712,35000,30000
2012,Polk,05113,8118,1521,2638,3959,35000,30000
2014,Polk,05113,7994,1536,2649,3809,35000,35000
2016,Polk,05113,7925,1727,2771,3427,40000,35000
2018,Polk,05113,8204,1874,2451,3879,40000,35000
2019,Polk,05113,8243,1862,2310,4071,40000,35000
2021,Polk,05113,7736,1428,2678,3630,50000,40000
2022,Polk,05113,7717,1307,2603,3807,52074,44544
2023,Polk,05113,7884,1386,2591,3907,51896,45255
2024,Polk,05113,7898,1331,2593,3974,54359,43600
2010,Pope,05115,22636,3991,5551,13094,35000,30000
2012,Pope,05115,22558,4025,5630,12903,35000,30000
2014,Pope,05115,22776,4246,6637,11893,40000,35000
2016,Pope,05115,22919,4335,6705,11879,40000,35000
2018,Pope,05115,22628,4252,7035,11341,45000,35000
2019,Pope,05115,22579,4070,7648,10861,50000,35000
2021,Pope,05115,23304,3864,7914,11526,50000,40000
2022,Pope,05115,23684,3927,7887,11870,53887,43467
2023,Pope,05115,24073,3957,7320,12796,53556,46453
2024,Pope,05115,24348,4090,6976,13282,54506,45371
2010,Prairie,05117,3563,589,1114,1860,35000,30000
2012,Prairie,05117,3770,733,938,2099,30000,30000
2014,Prairie,05117,3776,806,847,2123,30000,35000
2016,Prairie,05117,3846,771,1163,1912,40000,35000
2018,Prairie,05117,3826,620,1153,2053,40000,35000
2019,Prairie,05117,3776,580,1076,2120,35000,35000
2021,Prairie,05117,3385,380,1276,1729,50000,40000
2022,Prairie,05117,3314,379,1360,1575,54833,42515
2023,Prairie,05117,3261,363,1276,1622,57615,43654
2024,Prairie,05117,3256,451,1164,1641,58084,43449
2010,Pulaski,05119,154943,23315,39527,92101,35000,35000
2012,Pulaski,05119,155125,24616,44357,86152,40000,35000
2014,Pulaski,05119,152045,21275,53095,77675,45000,40000
2016,Pulaski,05119,161291,26719,40363,94209,40000,40000
2018,Pulaski,05119,157678,25300,46147,86231,45000,45000
2019,Pulaski,05119,158000,22472,51756,83772,50000,45000
2021,Pulaski,05119,172100,28978,53756,89366,50000,50000
2022,Pulaski,05119,174628,30150,49688,94790,51513,52886
2023,Pulaski,05119,169230,25714,46080,97436,52180,51777
2024,Pulaski,05119,178578,28863,42754,106961,50708,52752
2010,Randolph,05121,7255,1608,2106,3541,35000,25000
2012,Randolph,05121,7274,1501,2210,3563,35000,30000
2014,Randolph,05121,7293,1565,1795,3933,35000,30000
2016,Randolph,05121,7318,1392,2131,3795,35000,35000
2018,Randolph,05121,7455,1423,2510,3522,40000,35000
2019,Randolph,05121,7355,1383,2448,3524,40000,35000
2021,Randolph,05121,7234,1423,2411,3400,50000,40000
2022,Randolph,05121,7190,1380,2400,3410,53181,44179
2023,Randolph,05121,7071,1456,2064,3551,53328,48504
2024,Randolph,05121,7334,1629,2011,3694,52691,46217
2010,St. Francis,05123,8847,2466,3011,3370,40000,30000
2012,St. Francis,05123,9528,2573,2887,4068,40000,30000
2014,St. Francis,05123,9351,2424,3061,3866,40000,30000
2016,St. Francis,05123,9308,2047,3702,3559,45000,35000
2018,St. Francis,05123,9319,2383,3112,3824,45000,35000
2019,St. Francis,05123,9388,2383,3220,3785,45000,35000
2021,St. Francis,05123,8146,2514,2712,2920,50000,40000
2022,St. Francis,05123,8102,2352,3043,2707,56703,45060
2023,St. Francis,05123,7881,2097,2906,2878,58308,46560
2024,St. Francis,05123,7783,2176,2639,2968,59441,45672
2010,Saline,05125,40315,3485,9923,26907,35000,35000
2012,Saline,05125,42534,3591,9275,29668,40000,35000
2014,Saline,05125,41587,3242,14171,24174,50000,40000
2016,Saline,05125,43371,3491,11066,28814,50000,40000
2018,Saline,05125,43496,5462,10950,27084,50000,45000
2019,Saline,05125,45455,4381,11630,29444,50000,45000
2021,Saline,05125,47468,4196,15262,28010,60000,50000
2022,Saline,05125,50237,5131,15207,29899,58238,53940
2023,Saline,05125,49589,4561,13244,31784,56886,53400
2024,Saline,05125,50696,6123,11414,33159,59304,53244
2010,Scott,05127,4341,949,1084,2308,35000,30000
2012,Scott,05127,4247,883,1005,2359,35000,30000
2014,Scott,05127,4125,810,1225,2090,40000,30000
2016,Scott,05127,3965,851,1186,1928,40000,35000
2018,Scott,05127,3855,817,1509,1529,45000,35000
2019,Scott,05127,3944,834,1379,1731,45000,35000
2021,Scott,05127,3938,688,1335,1915,45000,40000
2022,Scott,05127,3901,719,1433,1749,51357,44032
2023,Scott,05127,3927,783,1354,1790,51142,46239
2024,Scott,05127,3985,887,1248,1850,50273,45312
2010,Searcy,05129,3457,856,960,1641,30000,30000
2012,Searcy,05129,3347,876,938,1533,35000,30000
2014,Searcy,05129,3179,813,698,1668,35000,30000
2016,Searcy,05129,3194,739,835,1620,35000,35000
2018,Searcy,05129,3271,801,924,1546,40000,35000
2019,Searcy,05129,3327,830,872,1625,40000,35000
2021,Searcy,05129,2964,787,1074,1103,60000,40000
2022,Searcy,05129,2948,766,897,1285,57361,43951
2023,Searcy,05129,3052,778,1099,1175,60794,45062
2024,Searcy,05129,3197,773,1029,1395,56616,45342
2010,Sebastian,05131,49363,9227,12366,27770,35000,30000
2012,Sebastian,05131,51394,9441,13870,28083,35000,30000
2014,Sebastian,05131,48779,10259,11354,27166,35000,30000
2016,Sebastian,05131,51055,8943,12223,29889,35000,35000
2018,Sebastian,05131,51739,7362,14362,30015,40000,35000
2019,Sebastian,05131,51384,8190,14565,28629,45000,35000
2021,Sebastian,05131,51472,11723,11426,28323,45000,40000
2022,Sebastian,05131,52078,9569,15207,27302,50607,45978
2023,Sebastian,05131,51596,7111,14552,29933,50873,48036
2024,Sebastian,05131,52985,6373,14519,32093,51063,46524
2010,Sevier,05133,5849,1097,1810,2942,35000,30000
2012,Sevier,05133,5791,1239,1897,2655,40000,30000
2014,Sevier,05133,5918,1199,1976,2743,40000,35000
2016,Sevier,05133,6005,1272,1716,3017,40000,35000
2018,Sevier,05133,5854,1103,1537,3214,45000,35000
2019,Sevier,05133,5885,1141,1830,2914,50000,35000
2021,Sevier,05133,5498,1067,2057,2374,60000,40000
2022,Sevier,05133,5543,1066,1933,2544,58251,42626
2023,Sevier,05133,5697,1158,1861,2678,56868,43614
2024,Sevier,05133,5622,1042,1899,2681,59458,44493
2010,Sharp,05135,7189,1579,1897,3713,30000,30000
2012,Sharp,05135,7064,1507,2311,3246,35000,30000
2014,Sharp,05135,7053,1457,2229,3367,35000,30000
2016,Sharp,05135,7320,1470,2567,3283,40000,30000
2018,Sharp,05135,7354,1460,2557,3337,40000,35000
2019,Sharp,05135,7447,1565,2407,3475,40000,35000
2021,Sharp,05135,6841,1356,2829,2656,50000,45000
2022,Sharp,05135,6901,1227,2728,2946,52529,45972
2023,Sharp,05135,6810,1366,2530,2914,54924,47364
2024,Sharp,05135,6856,1332,2429,3095,55772,45636
2010,Stone,05137,4966,1237,1211,2518,30000,30000
2012,Stone,05137,5276,1072,1331,2873,30000,30000
2014,Stone,05137,5267,1232,1778,2257,35000,35000
2016,Stone,05137,4966,1089,1935,1942,40000,35000
2018,Stone,05137,4954,1057,1575,2322,40000,35000
2019,Stone,05137,4787,955,1805,2027,50000,35000
2021,Stone,05137,4678,1083,1852,1743,50000,45000
2022,Stone,05137,4731,1103,1919,1709,60585,45139
2023,Stone,05137,4962,1095,2027,1840,58972,45530
2024,Stone,05137,5262,1115,1939,2208,54531,45768
2010,Union,05139,16466,3795,3963,8708,35000,30000
2012,Union,05139,16706,3465,3841,9400,35000,30000
2014,Union,05139,16689,3306,4216,9167,35000,35000
2016,Union,05139,16383,3220,4104,9059,35000,35000
2018,Union,05139,15904,3137,4132,8635,40000,40000
2019,Union,05139,15726,3021,4102,8603,40000,40000
2021,Union,05139,14791,2841,4617,7333,50000,45000
2022,Union,05139,14940,2809,4799,7332,53646,46693
2023,Union,05139,15125,3022,4663,7440,53005,48401
2024,Union,05139,15002,2814,4326,7862,53639,47232
2010,Van Buren,05141,7065,1442,1593,4030,30000,25000
2012,Van Buren,05141,7080,1422,1756,3902,35000,25000
2014,Van Buren,05141,7077,1606,2203,3268,35000,30000
2016,Van Buren,05141,6825,1280,2406,3139,40000,35000
2018,Van Buren,05141,6852,1271,2455,3126,45000,35000
2019,Van Buren,05141,6813,1266,2355,3192,45000,35000
2021,Van Buren,05141,6951,1257,2596,3098,45000,45000
2022,Van Buren,05141,6833,1319,2181,3333,50758,44477
2023,Van Buren,05141,7115,1468,2133,3514,47393,46360
2024,Van Buren,05141,7432,1414,2141,3877,46900,45208
2010,Washington,05143,76407,14640,20077,41690,35000,35000
2012,Washington,05143,81423,15323,18585,47515,35000,35000
2014,Washington,05143,81600,16111,20323,45166,40000,35000
2016,Washington,05143,88690,15766,22739,50185,40000,40000
2018,Washington,05143,90001,15163,24031,50807,45000,40000
2019,Washington,05143,89249,14745,23329,51175,45000,40000
2021,Washington,05143,94220,10654,25409,58157,50000,45000
2022,Washington,05143,98935,13693,31548,53694,57015,51468
2023,Washington,05143,99630,14194,27072,58364,55372,50928
2024,Washington,05143,99868,12866,25168,61834,58486,51252
2010,White,05145,29806,5284,8387,16135,35000,30000
2012,White,05145,29089,5675,7653,15761,40000,30000
2014,White,05145,29146,6331,7964,14851,40000,35000
2016,White,05145,28221,5210,9146,13865,45000,35000
2018,White,05145,29577,5107,9326,15144,45000,35000
2019,White,05145,28621,4060,10826,13735,50000,40000
2021,White,05145,28599,4369,9892,14338,50000,40000
2022,White,05145,29805,5564,7846,16395,52316,46034
2023,White,05145,30920,5361,9010,16549,50907,48120
2024,White,05145,31703,6350,8703,16650,53475,43459
2010,Woodruff,05147,3323,816,994,1513,30000,30000
2012,Woodruff,05147,3169,799,922,1448,30000,30000
2014,Woodruff,05147,3055,827,967,1261,35000,30000
2016,Woodruff,05147,2919,795,866,1258,35000,35000
2018,Woodruff,05147,2890,754,882,1254,40000,35000
2019,Woodruff,05147,2932,789,773,1370,40000,35000
2021,Woodruff,05147,2634,562,768,1304,45000,40000
2022,Woodruff,05147,2626,530,742,1354,49627,43442
2023,Woodruff,05147,2753,657,614,1482,47532,42170
2024,Woodruff,05147,2692,774,592,1326,49354,41392
2010,Yell,05149,7883,1410,2259,4214,35000,30000
2012,Yell,05149,7739,1477,2169,4093,40000,30000
2014,Yell,05149,7825,1587,2488,3750,40000,35000
2016,Yell,05149,7492,1311,2743,3438,45000,35000
2018,Yell,05149,7491,1277,2545,3669,45000,35000
2019,Yell,05149,7503,1276,2663,3564,50000,40000
2021,Yell,05149,7541,1081,2517,3943,50000,45000
2022,Yell,05149,7751,1039,2472,4240,51231,46104
2023,Yell,05149,8053,1129,2292,4632,48778,47136
2024,Yell,05149,8323,1350,2118,4855,47363,45732
