occupation,total_workers,alice_workers,alice_percentage,median_wage,year
Delivery Driver/Sales Workers,47180,12267,26,18.72,2023
Fast Food and Counter Workers,39360,14563,37,12.7,2023
General and Operations Managers,34660,6585,19,30.75,2023
Cashiers,32090,17008,53,12.86,2023
Retail Salespersons,30530,8243,27,14.12,2023
Registered Nurses,29690,2672,9,35.06,2023
Stockers and Order Fillers,27890,13945,50,15.18,2023
Office Clerks,26820,10192,38,17.26,2023
Laborers and Movers,25590,9212,36,16.71,2023
Janitors and Building Cleaners,23860,9783,41,14.67,2023
Cooks,23480,13853,59,13.78,2023
Customer Service Representatives,19840,4166,21,17.11,2023
Orderlies and Psychiatric Aides,18800,12596,67,15.04,2023
Elementary and Middle School Teachers,18740,1874,10,26.66,2023
Nursing Assistants,17650,7413,42,15.01,2023
Waiters and Waitresses,17350,7808,45,12.58,2023
Personal Care Aides,17320,10046,58,13.2,2023
Sales Representatives Wholesale and Manufacturing,13920,2645,19,27.93,2023
Administrative Support Supervisors,13570,3121,23,25.23,2023
Secondary School Teachers,13450,1883,14,26.94,2023